source,date,location,content,severity,tags
Punch,2025-08-12,Oregun,Police confirm disruption of one-chance syndicate around Oregun. zero fatalities involved.,Low,"kidnapping,press_briefing,statistics"
ChannelsTV,2025-09-12,Ipodo,Residents report disruption of one-chance syndicate near Ipodo; security operatives deploy undercover units.,Medium,"assault,car_theft,robbery,statistics"
ChannelsTV,2025-07-18,Mobolaji Bank Anthony Way,Govt statement from Alausa: public awareness campaign targeting one_chance in Mobolaji Bank Anthony Way.,Medium,"cybercrime,community_policing,kidnapping"
The Nation,2025-08-16,Awolowo Way,"Quarterly stats show 5 hotspots identified for one_chance across Ikeja, focus on Awolowo Way.",Medium,"car_theft,community_policing,burglary,press_briefing"
The Nation,2025-08-11,Ikeja GRA,"Quarterly stats show zero fatalities for cybercrime across Ikeja, focus on Ikeja GRA.",Medium,"kidnapping,car_theft,robbery"
Vanguard,2025-08-07,Ikeja GRA,Residents report decline in reported robberies near Ikeja GRA; security operatives engage community leaders.,Low,"arrest,policy,assault,robbery"
Punch,2025-07-05,Allen Avenue,Govt statement from Alausa: traffic enforcement blitz targeting burglary in Allen Avenue.,Low,"kidnapping,assault,robbery"
Vanguard,2025-09-19,Oregun,Govt statement from Alausa: public awareness campaign targeting cybercrime in Oregun.,Low,"kidnapping,press_briefing,statistics"
Government Press Release,2025-05-29,Lonlo,Police confirm bust of counterfeit ring around Lonlo. 5 hotspots identified involved.,High,"car_theft,statistics"
Government Press Release,2025-06-21,Mobolaji Bank Anthony Way,Govt statement from Alausa: public awareness campaign targeting cybercrime in Mobolaji Bank Anthony Way.,Medium,"arrest,policy,burglary,kidnapping"
ChannelsTV,2025-09-04,Ipodo,Govt statement from Alausa: CCTV expansion targeting assault in Ipodo.,Low,"burglary,assault,robbery"
The Nation,2025-05-23,Ikeja GRA,The Nation reports arrest of assault suspects in Ikeja GRA; authorities launch investigation.,Low,"community_policing,car_theft"
Guardian,2025-07-23,Oba Akran,Govt statement from Alausa: CCTV expansion targeting assault in Oba Akran.,High,"burglary,car_theft,robbery"
Punch,2025-09-14,Allen Avenue,Police confirm seizure of stolen phones around Allen Avenue. 3 suspects at large involved.,Low,"cybercrime,community_policing,press_briefing"
Government Press Release,2025-06-19,Secretariat Bus Stop,Government Press Release reports seizure of stolen phones in Secretariat Bus Stop; authorities engage community leaders.,Medium,"kidnapping,burglary,statistics"
The Nation,2025-05-24,Secretariat Bus Stop,"Quarterly stats show 15 stolen items recovered for one_chance across Ikeja, focus on Secretariat Bus Stop.",Medium,"policy,burglary"
The Nation,2025-07-23,Adekunle Fajuyi Way,The Nation reports arrest of suspected burglary ring in Adekunle Fajuyi Way; authorities deploy undercover units.,Medium,"burglary,assault"
Guardian,2025-06-25,Oregun,Police confirm seizure of stolen phones around Oregun. 8 arrests involved.,Low,"arrest,cybercrime,community_policing,assault"
Punch,2025-05-23,Ipodo,Residents report recovery of snatched laptops near Ipodo; security operatives increase patrols.,Low,"arrest,cybercrime"
ChannelsTV,2025-06-05,Awolowo Way,Govt statement from Alausa: public awareness campaign targeting robbery in Awolowo Way.,High,"policy,cybercrime,robbery"
