source,timestamp,location,content,sentiment,tags
Facebook,2025-08-11 16:31:21,Ikeja Along,Witnessed street fight around Ikeja Along; stay safe everyone.,Negative,"traffic,vandalism,assault,pickpocket"
Instagram,2025-08-30 09:18:49,Adeniyi Jones,Photo caption: police patrol at Adeniyi Jones. #ComputerVillage,Negative,"scam,assault,market"
Nairaland,2025-07-06 07:47:36,Mobolaji Bank Anthony Way,Witnessed scuffle around Mobolaji Bank Anthony Way; stay safe everyone.,Neutral,"daytime,burglary"
Instagram,2025-08-25 16:36:26,Adeniyi Jones,Heard about vandalism attempt near Adeniyi Jones this late night. Any updates?,Positive,"arrest,daytime,police_presence,crowd"
Instagram,2025-06-23 05:43:10,Opebi,Photo caption: bag stolen at Opebi. #Ikeja,Negative,"theft,pickpocket,phone_snatch"
Instagram,2025-09-11 22:26:50,Adeniyi Jones,Police seen cordoning off area around Adeniyi Jones. Area looks tense.,Negative,"pickpocket,crowd,neighborhood_watch,daytime,assault"
Nairaland,2025-08-31 13:59:44,Ikeja Along,Report of fraud attempt near Ikeja Along. People gathering. #LagosTraffic,Negative,"police_presence,burglary"
Nairaland,2025-07-08 06:39:20,Ikeja Along,Witnessed scuffle around Ikeja Along; stay safe everyone.,Negative,"traffic,police_presence,arrest,theft,night"
Instagram,2025-08-24 16:19:17,Alausa,Thread says attempted robbery ongoing close to Alausa; stay in groups.,Neutral,"burglary,night,transit"
Facebook,2025-07-04 00:02:08,Opebi,Thread says car theft ongoing close to Opebi; stay in groups.,Negative,"traffic,vandalism"
Facebook,2025-07-31 23:52:45,Computer Village,Witnessed assault around Computer Village; stay safe everyone.,Neutral,"arrest,transit"
Instagram,2025-07-08 01:39:18,Computer Village,Thread says attempted robbery ongoing close to Computer Village; keep valuables hidden.,Neutral,"suspicious_vehicle,burglary"
Instagram,2025-06-23 04:34:04,Opebi,Witnessed pickpocketing around Opebi; stay safe everyone.,Neutral,"traffic,one_chance,transit"
Facebook,2025-07-11 20:31:41,Lonlo,Police seen cordoning off area around Lonlo. Area looks calmer.,Negative,"police_presence,pickpocket,market"
Instagram,2025-08-24 06:26:49,Ikeja Along,Police seen questioning suspects around Ikeja Along. Area looks busy.,Negative,"crowd,neighborhood_watch,scam,daytime,robbery"
Instagram,2025-08-08 15:07:54,Opebi,Report of car theft near Opebi. People running. #StaySafe,Neutral,"daytime,night"
Instagram,2025-07-07 20:08:17,Oba Akran,Witnessed scuffle around Oba Akran; stay safe everyone.,Neutral,"arrest,daytime,assault"
Facebook,2025-07-21 19:02:18,Opebi,Photo caption: police patrol at Opebi. #SecurityAlert,Negative,"arrest,daytime,scam"
Instagram,2025-07-04 16:13:29,Mobolaji Bank Anthony Way,Photo caption: phone snatched at Mobolaji Bank Anthony Way. #ComputerVillage,Negative,"police_presence,neighborhood_watch,transit,daytime,robbery"
Instagram,2025-08-15 11:28:16,Ikeja GRA,Police seen questioning suspects around Ikeja GRA. Area looks busy.,Negative,"police_presence,night"
Instagram,2025-08-01 16:53:36,Mobolaji Bank Anthony Way,Photo caption: phone snatched at Mobolaji Bank Anthony Way. #Ikeja,Positive,"arrest,daytime,market"
Facebook,2025-08-26 04:34:26,Ikeja GRA,Photo caption: police patrol at Ikeja GRA. #Ikeja,Negative,"crowd,one_chance,scam,phone_snatch,robbery"
